car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
ROCKY X 1.2,Daihatsu,2021,40.066,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,191000000,3890000
SIRION M602RS 1.3,Daihatsu,2017,86.506,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,124000000,2530000
SIRION M602RS 1.3,Daihatsu,2012,87.631,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,88000000,1790000
HR-V E 1.5,Honda,2019,58.95,Jakarta Timur,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,264000000,5380000
XENIA R STD 1.3,Daihatsu,2019,33.937,Jakarta Barat,Manual,odd plate,1,0,1,0,0,0,0,0,0,0,0,168000000,3420000
SIENTA Q 1.5,Toyota,2017,58.365,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,187000000,3810000
CALYA G 1.2,Toyota,2019,53.807,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,121000000,2470000
BRIO SATYA S 1.2,Honda,2016,28.625,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,112000000,2280000
2 GT SKYACTIV 1.5,Mazda,2015,66.182,Jakarta Barat,Automatic,even plate,1,0,0,0,1,0,0,0,0,0,0,181000000,3690000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,63.203,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
COLT L300 PICK UP 2.5,Mitsubishi,2022,1.065,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,177000000,3610000
SX4 S-CROSS 1.5,Suzuki,2016,76.606,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,160000000,3260000
AVANZA G 1.3,Toyota,2018,24.873,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,160000000,3260000
SIGRA M 1.0,Daihatsu,2019,18.826,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,109000000,2220000
